Ponto / Grupo,Data,Hora,Ativa C (kWh),Qualidade,Origem
RJAQTEENTR101 (L),11/04/2024,24,"37,922",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,1,"26,023",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,2,"25,703",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,3,"25,771",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,4,"26,177",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,5,"31,515",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,6,"765,065",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,7,"954,078",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,8,"1.059,374",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,9,"1.075,377",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,10,"1.045,980",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,11,"1.067,295",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,12,"1.063,740",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,13,"765,529",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,14,"1.077,644",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,15,"1.055,420",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,16,"1.103,499",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,17,"513,696",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,18,"164,110",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,19,"37,596",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,20,"41,957",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,21,"40,723",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),12/04/2024,22,"38,246",Completo,COLETA DIÁRIA
